date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:12:18	69534/69534	---MCZ	200	added ('OK')	text/html	etag:W/%225d371095-10f9e%22	http://templates.framework-y.com/techline/demo-main/index-product.html	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/demo-main/index-product.html	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:19	68880/68880	---MCZ	200	added ('OK')	text/html	etag:W/%225d371095-10d10%22	http://templates.framework-y.com/techline/demo-main/index-services.html	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/demo-main/index-services.html	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:19	59347/59347	---M--	200	added ('OK')	image/jpeg	etag:%225d371095-e7d3%22	http://templates.framework-y.com/techline/images/intro/management.jpg	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/intro/management.jpg	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:20	62083/62083	---MCZ	200	added ('OK')	text/html	etag:W/%225d371095-f283%22	http://templates.framework-y.com/techline/demo-main/index-video.html	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/demo-main/index-video.html	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:25	137434/137434	---M--	200	added ('OK')	image/png	etag:%225d371095-218da%22	http://templates.framework-y.com/techline/images/mk-intro.png	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/mk-intro.png	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:26	68396/68396	---MCZ	200	added ('OK')	text/html	etag:W/%225d371095-10b2c%22	http://templates.framework-y.com/techline/demo-main/index-app.html	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/demo-main/index-app.html	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:28	61169/61169	---M--	200	added ('OK')	image/jpeg	etag:%225d371095-eef1%22	http://templates.framework-y.com/techline/images/intro/product.jpg	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/intro/product.jpg	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:29	70278/70278	---MCZ	200	added ('OK')	text/html	etag:W/%225d371095-11286%22	http://templates.framework-y.com/techline/demo-main/index-presentation.html	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/demo-main/index-presentation.html	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:30	61150/61150	---M--	200	added ('OK')	image/jpeg	etag:%225d371095-eede%22	http://templates.framework-y.com/techline/images/intro/services.jpg	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/intro/services.jpg	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:31	76510/76510	---MCZ	200	added ('OK')	text/html	etag:W/%225d371095-12ade%22	http://templates.framework-y.com/techline/demo-main/index-event.html	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/demo-main/index-event.html	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:33	80435/80435	---M--	200	added ('OK')	image/jpeg	etag:%225d371095-13a33%22	http://templates.framework-y.com/techline/images/intro/video.jpg	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/intro/video.jpg	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:33	41963/41963	---M--	200	added ('OK')	image/jpeg	etag:%225d371095-a3eb%22	http://templates.framework-y.com/techline/images/intro/app.jpg	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/intro/app.jpg	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:34	63808/63808	---MCZ	200	added ('OK')	text/html	etag:W/%225d371095-f940%22	http://templates.framework-y.com/techline/demo-main/index-activity.html	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/demo-main/index-activity.html	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:35	92798/92798	---MCZ	200	added ('OK')	text/html	etag:W/%225d371095-16a7e%22	http://templates.framework-y.com/techline/demo-main/index-business.html	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/demo-main/index-business.html	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:39	51854/51854	---M--	200	added ('OK')	image/jpeg	etag:%225d371095-ca8e%22	http://templates.framework-y.com/techline/images/intro/event.jpg	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/intro/event.jpg	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:41	72962/72962	---MCZ	200	added ('OK')	text/html	etag:W/%225d371095-11d02%22	http://templates.framework-y.com/techline/demo-main/index-blog.html	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/demo-main/index-blog.html	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:41	47364/47364	---M--	200	added ('OK')	image/jpeg	etag:%225d371095-b904%22	http://templates.framework-y.com/techline/images/intro/activity.jpg	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/intro/activity.jpg	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:42	60026/60026	---MCZ	200	added ('OK')	text/html	etag:W/%225d371095-ea7a%22	http://templates.framework-y.com/techline/demo-main/index-corporate.html	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/demo-main/index-corporate.html	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:43	87143/87143	---M--	200	added ('OK')	image/jpeg	etag:%225d371095-15467%22	http://templates.framework-y.com/techline/images/intro/presentation.jpg	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/intro/presentation.jpg	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:43	50530/50530	---M--	200	added ('OK')	image/jpeg	etag:%225d371095-c562%22	http://templates.framework-y.com/techline/images/intro/business.jpg	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/intro/business.jpg	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:44	72350/72350	---MCZ	200	added ('OK')	text/html	etag:W/%225d371095-11a9e%22	http://templates.framework-y.com/techline/demo-main/index-company.html	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/demo-main/index-company.html	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:45	66672/66672	---MCZ	200	added ('OK')	text/html	etag:W/%225d371095-10470%22	http://templates.framework-y.com/techline/demo-main/index-consulting.html	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/demo-main/index-consulting.html	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:50	52016/52016	---M--	200	added ('OK')	image/jpeg	etag:%225d371095-cb30%22	http://templates.framework-y.com/techline/images/intro/blog.jpg	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/intro/blog.jpg	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:50	39807/39807	---M--	200	added ('OK')	image/jpeg	etag:%225d371095-9b7f%22	http://templates.framework-y.com/techline/images/intro/company.jpg	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/intro/company.jpg	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:50	49139/49139	---M--	200	added ('OK')	image/jpeg	etag:%225d371095-bff3%22	http://templates.framework-y.com/techline/images/intro/corporate.jpg	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/images/intro/corporate.jpg	(from http://templates.framework-y.com/techline/demo-main/index.html)
22:12:51	63011/63011	---MCZ	200	added ('OK')	text/html	etag:W/%225d371095-f623%22	http://templates.framework-y.com/techline/demo-main/index-boxed.html	C:/My%20Web%20Sites/Shop%20v2/templates.framework-y.com/techline/demo-main/index-boxed.html	(from http://templates.framework-y.com/techline/demo-main/index.html)
